spirit,精神
spot,沾污;察出;斑點;場所
spread,展開;散布;蔓延;普及;價格差異
spring,春天;泉;彈開;湧現;源(於)
square,正方形
squirrel,松鼠
stage,上演;籌劃;發動;舞臺;(進展的)階段
stamp,頓足;蓋印;郵票;印章
standard,標準;一般性的
steak,牛排
steal,偷竊
steam,蒸;蒸氣
steel,鋼;鋼鐵;鋼化;給...包上鋼
stick,棍;棒;杖;枝條;黏貼;刺;戮;釘住;插牢;堅持
storm,暴風雨;猛攻
stove,爐灶
straight,直;直的;挺直地;正直地;立刻
stranger,陌生人
straw,稻草;吸管
strawberry,草莓
stream,溪流;流;蜂擁而進
stress,壓力;強調
stretch,舒展肢體;伸懶腰;伸直;伸出;伸長
strict,嚴謹的;精確的
strike,打擊;(鐘)敲響;攻擊;罷工
string,線;細繩;帶子;(用線;繩)縛;紮;掛
struggle,掙扎;對抗
subject,主題;學科
subtract,減;減去
subway,地鐵
succeed,成功
success,成功
successful,成功的
sudden,突然的;突然發生的事
suit,一套衣服;訴訟;適合;相稱;彼此協調
sunny,晴朗的
supermarket,超級市場
supply,供給;供應;生活用品;補給品
support,支持
surface,表面;顯露;呈現;起床;露面
survive,在...之後仍然活著
swallow,吞嚥;燕子
swan,天鵝
sweater,毛衣
sweep,掃除;掃
swing,搖擺;揮動;鞦韆;搖擺音樂
symbol,符號;象徵
table tennis,乒乓球
talent,天才
talkative,好說話的
tangerine,橘子
tank,槽;坦克
tape,錄音帶;錄影帶;膠帶;用帶子捆紮;用錄音帶為...錄音(或影)
target,目標;把...作為目標(或對象)
task,任務;工作;派給...任務;要...做一項工作
tasty,高雅的;大方的
team,隊;使合作;結成一隊
tear,眼淚;撕
teen,青少年
teenage,十幾歲的
teenager,十幾歲孩子
telephone,電話;打電話
television,電視
temple,廟宇;神殿
tennis,網球
tent,帳篷
term,術語;學期;把...稱為;把...叫做
terrible,可怕的
terrific,非常好的;可怕的
test,考試;試驗;測驗
textbook,教科書
theater,戲院;劇院
therefore,因此
thick,粗的;厚的
thief,小偷
thin,瘦的
thirsty,口渴的
throat,喉嚨
through,經過;穿過;通過;從頭至尾;(電話)接通
throughout,遍及;處處;始終;在所有方面
thumb,拇指;用拇指翻動;迅速翻閱;豎起拇指要求搭車
thunder,雷;打雷;大聲斥責;威嚇
tip,尖端;小費;給小費;使傾斜
title,標題;頭銜;加標題於;授頭銜於
toast,烤麵包片;烤;乾杯
toe,腳趾;用腳尖走(或站)
tofu,豆腐
toilet,馬桶
tomato,番茄
tongue,舌頭;舔;用舌吹(管樂器);發(音)
tooth,牙齒
topic,論題;話題
tour,旅行;帶...作巡迴演出
towel,毛巾;用毛巾擦
tower,塔;高聳;屹立;勝過;高飛;翱翔
track,行蹤;軌道;跟蹤;沿著(道路)走
trade,貿易;交換; 做買賣;進行交易
tradition,傳統
traditional,傳統的
traffic,交通;在...上通行;交易;來來往往
trap,設陷;阱陷阱;圈套
travel,旅行
treasure,珍愛;財寶
treat,對待;治療;款待
treatment,對待;待遇;治療法
trial,審判
triangle,三角形
trick,欺騙;詭計;戲法;惡作劇
trousers,長褲
truck,卡車;用卡車運送
trumpet,小喇叭;吹喇叭
trust,信任;信賴;託管;信託
truth,事實;真相
tube,管子
tunnel,隧道;挖掘隧道
turkey,火雞
turtle,烏龜
type,類型;打字
typhoon,颱風
ugly,醜的
umbrella,雨傘
underground,地面下層;地下組織
underwear,內衣
uniform,制服;使成一樣;使一律化;相同的;一致的;不變的
upon,在...之上
upper,較高的
used,習慣於; 舊的;用舊了的
user,使用者
usual,例常的
vacation,度假;假期
valley,山谷
value,價值;估價;評價;尊重;重視
victory,勝利
video,錄影機;錄影帶;電視的;電視影像的;錄影的
village,村落
violin,小提琴
visitor,訪客
vocabulary,字彙
volleyball,排球
vote,選舉;投票;表決
voter,選舉人;投票人
waist,腰
waiter,男服務生
waitress,女服務生
wake,叫醒
wallet,皮夾
waterfall,瀑布
watermelon,西瓜
wave,波浪;揮動
weapon,武器
wed,娶;嫁
weekday,工作日
western,西方的;西部地區的人
wet,潮溼的;把...淋濕;打濕;弄濕;尿濕
whale,鯨魚
whatever,無論怎麼的
wheel,輪子;旋轉;轉動
whenever,無論什麼時候;每當;無論什麼地方
wherever,無論在哪裡
whisper,傳聞;流言;低語;耳語
widen,加寬;擴大
width,寬度
wild,荒野;荒地;未開發的地方;狂暴地;無控制地;胡亂地;野生的;無法無天的
willing,願意的;樂意的
windy,多風的
wing,翅膀;在...裝翼;飛行
winner,贏家
wire,金屬線;用金屬絲縛;拍電報
wise,有智慧的
within,在內部;在…裡; 不超過
without,沒有;在沒有(或缺少)的情況下
wolf,狼
wonder,納悶;驚奇;奇觀
wonderful,很棒的;奇妙的
wooden,木製的;僵硬的;笨拙的
wool,羊毛;毛織品
worth,價值;值得(做...)
wound,傷害;傷口
you,你
yard,庭院;碼(3英呎)
youth,青少年;青少年時代
zebra,斑馬
