absolute,絕對的;完全的
concentration,專心;濃縮
concept,概念;觀念
concrete,混凝土
conductor,指揮
conference,(正式)會議;討論會;協商會
confidence,自信;信心;把握
confusion,困惑;慌亂
congress,立法機關
conjunction,連接詞;結合;關聯
conscience,良心;道義心
consequence,結果;後果
conservative,保守者;守舊者
consonant,子音
constitution,憲法;章程;法規
construction,建造;建設
consultant,顧問
consumer,消費者;消耗者
container,容器
content,內容;要旨
contentment,知足;滿意
contest,爭奪;競爭
context,上下文;文章脈絡
contrary,相反;反面;對立的一方
contrast,對比;對照
contribution,貢獻
convenience,方便;合宜
convention,會議;大會
cooperation,合作;協力
cooperative,合作社;合作商店
copper,銅
cord,細繩;粗線;索
cork,軟木;軟木塞
costume,服裝;裝束
cottage,小屋
council,會議
counter,櫃臺
courtesy,禮貌
crack,裂縫;爆裂聲
craft,工藝;手藝
creation,創造;創作;創立
creativity,創造力
cripple,跛子;殘廢的人
critic,批評家;評論家
criticism,批評;評論
cruelty,殘酷;殘忍
crush,壓碎;毀壞; 迷戀;迷戀的對象
cube,立方體;立方
cucumber,黃瓜;胡瓜
cue,暗示;信號
cunning,狡猾;奸詐;靈巧;熟練
curiosity,好奇心
curl,捲毛;捲髮
curse,咒語;詛咒
curve,曲線
cushion,墊子;坐墊
damn,詛咒
damp,濕氣;潮濕
deadline,最後限期
decoration,裝飾;裝潢
decrease,減少;減小;減少額;減小量
defeat,失敗;戰敗;挫折
defense,防禦;保衛;防護
delight,樂趣;情趣
demand,要求;請求
demonstration,實地示範
departure,離開;出發;起程
dependent,受撫養者
depression,沮喪;意氣消沈
destruction,破壞;毀滅;消滅
detective,偵探;私家偵探
determination,堅定;果斷
device,儀器;裝置
diaper,尿布
digest,消化
digestion,消化;(知識等的)領悟;吸收
dignity,尊嚴
diligence,勤勉;勤奮
diploma,畢業文憑
diplomat,外交官
disadvantage,不利條件
disaster,災害;災難;不幸
discipline,紀律;風紀;教養
discouragement,沮喪;氣餒;洩氣;勸阻
disguise,假扮;偽裝
disgust,厭惡;憎惡
disorder,混亂;無秩序; 不適;小病
dispute,爭論;爭執;爭端
distribution,分發;分配
district,地區;區域;地帶
divorce,離婚
doctor,醫生
dorm,宿舍
doze,瞌睡;假寐
draft,草稿;徵兵;通風
dread,畏懼;恐怖
drift,漂流;漂移
drill,鑽;鑽頭;鑽床
dye,染料;染色
dynasty,王朝;朝代
earnest,認真;誠摯
earphone,耳機
economics,經濟學
economist,經濟學者
economy,節約;節省
efficiency,效率;效能
elastic,橡皮帶;鬆緊帶;橡皮圈
