acceptable,可以接受的;令人滿意的
humankind,人類
hush,靜寂;沈默
hut,小屋;臨時營房
ideal,理想
identity,身分
ignorance,無知;不學無術;愚昧
image,肖像影像
imagination,想像力;創造力
import,進口商品
individual,個人;個體
inferior,次品
injury,傷害
inn,小旅館;客棧
inspector,檢查員;視察員;督察員
instruction,教學;講授
introduction,介紹;正式引見
inventor,發明家
ivory,象牙
jail,監獄;拘留所
jar,罐;罈
jaw,頜;顎
jelly,果凍;果醬
jet,噴射;噴出物;噴射機
jewel,寶石
jewelry,珠寶;首飾
journal,日報;雜誌;期刊;日誌
journey,旅行
jungle,熱帶叢林;密林;叢林
junk,廢棄的舊物
justice,正義;公平
kangaroo,袋鼠
kettle,水壺
keyboard,鍵盤
kidney,腎臟
kilogram,公斤
kilometer,公里
kit,成套工具;配套元件
km,公里
knight,騎士;武士;護衛者
knit,編織衣物
knob,球形突出物
knot,花結;蝴蝶結
label,貼紙;標籤;商標
lace,鞋帶;帶子;花邊
ladder,梯子
laughter,笑;笑聲
laundry,洗衣店;送洗的衣服
lawn,草坪;草地
leak,漏出;漏電
leap,跳;跳躍
leather,皮革
leisure,閒暇;空暇時間
lens,透鏡;鏡片
liar,說謊的人
liberty,自由;自由權
librarian,圖書館員
lifeboat,救生艇
lifeguard,救生員
lifetime,一生;終身
lighthouse,燈塔
limb,肢;臂
linen,亞麻布製品;床單;桌巾;內衣
lipstick,口紅
litter,廢棄物;零亂之物
liver,肝臟
load,裝載;擔子;工作量
lobby,大廳;門廊
lobster,龍蝦
lollipop,棒棒糖
lord,(大寫)上帝;基督
loudspeaker,揚聲器;擴聲器;喇叭
luggage,行李
lullaby,催眠曲;搖籃曲
lung,肺;肺臟
magnet,磁鐵;磁石
maid,侍女;女僕
major,主修
majority,過半數;大多數
mall,大規模購物中心
management,管理;經營;處理
manager,經理
mankind,人類
manners,禮貌;規矩;風俗;習慣
marble,大理石
March,三月
math,數學
mathematics,數學
mayor,市長;鎮長
meadow,草地;牧草地
meanwhile,其時;其間
medal,獎章;紀念章;勳章
media,媒介物;新聞媒介
medium,中間;中庸;媒體;工具;傳播媒介
membership,會員身分
mention,提及;說起
merchant,商人
mess,混亂;凌亂的狀態
microphone,麥克風
microwave,微波爐
might,力量;威力
mike,擴音器;麥克風
mill,磨坊;銑床;銑刀
millionaire,百萬富翁
miner,礦工
minor,未成年者;副科
minority,少數;少數民族;未成年
miracle,奇蹟
misery,痛苦;不幸;悲慘;窮困
missile,飛彈;導彈
mission,使節團;使命;任務
mist,薄霧;噴霧
mixture,混合;混和
mob,暴民;烏合之眾
moisture,濕氣
monk,修道士;僧侶
mood,心情;心境;情緒
mop,拖把
moral,道德;品行
motel,汽車旅館
motor,馬達;發動機
murder,謀殺;兇殺
muscle,肌;肌肉
mushroom,蘑菇
musical,歌舞劇;音樂片
mystery,神祕;祕密
nanny,保姆
nap,打盹兒
native,土著;原住民
navy,海軍
necessity,必需品
necktie,領帶
neighborhood,近鄰
nerve,神經
network,電視網;電腦網絡
nickname,綽號;渾名
noble,貴族
novelist,小說家
nun,修女;尼姑
oak,橡樹
occasion,場合;時刻
operator,接線生;運算符號
opportunity,機會;良機
opposite,對立物
origin,起源;由來
original,原著;原畫;原版
orphan,孤兒
outline,外形;輪廓
overcoat,外套;大衣
ownership,物主身分;所有權
pad,墊;襯墊;護墊;鞍墊
pail,桶;提桶
pal,伙伴;好友
palace,皇宮;宮殿
pancake,薄煎餅;薄烤餅
panic,恐慌;驚慌
parade,行列;遊行
paradise,樂園
parcel,小包;包裹
passage,通行;走廊;過道
passion,熱情;激情;酷愛
passport,護照;通行證;執照
password,密碼;口令;暗語
patience,耐心;忍耐;耐性;毅力
pause,暫停;間歇;躊躇;猶豫
pavement,鋪築過的地面;人行道
